id,mes,ano,bairro,morador,casa,lat_campo,lon_campo,point_id,point_year_id,distancia_casa_mata,lta,area,tipo,local,especie,total,femeas,machos,dout_mest
1,01/06/2002,2002,Mutirão,Antônio,antigo,-22.61228,-43.681428,49,49_2002,500-1000,recente,rural,manual,parede_externa,L. intermedia,3,0,3,doutorado
2,01/06/2002,2002,Mutirão,Antônio,antigo,-22.61228,-43.681428,49,49_2002,500-1000,recente,rural,manual,arvore,L. intermedia,10,0,10,doutorado
3,01/06/2002,2002,Mutirão,Vacil,antigo,-22.61584,-43.686348,45,45_2002,200-500,recente,rural,manual,parede_externa,L. intermedia,5,1,4,doutorado
4,01/06/2002,2002,Mutirão,Vacil,antigo,-22.61584,-43.686348,45,45_2002,200-500,recente,rural,manual,arvore,L. intermedia,36,4,32,doutorado
5,01/06/2002,2002,Mutirão,Valdelino,antigo,-22.614141,-43.684693,47,47_2002,500-1000,recente,rural,manual,parede_externa,L. intermedia,5,0,5,doutorado
6,01/06/2002,2002,Mutirão,Valdelino,antigo,-22.614141,-43.684693,47,47_2002,500-1000,recente,rural,manual,arvore,L. intermedia,20,0,20,doutorado
7,01/06/2002,2002,Mutirão,Josilda,antigo,-22.602335,-43.665134,51,51_2002,200-500,recente,rural,manual,parede_externa,L. intermedia,5,0,5,doutorado
8,01/06/2002,2002,Mutirão,Josilda,antigo,-22.602335,-43.665134,51,51_2002,200-500,recente,rural,manual,arvore,L. intermedia,30,2,28,doutorado
9,01/06/2002,2002,Mutirão,Josilda,antigo,-22.602335,-43.665134,51,51_2002,200-500,recente,rural,manual,chiqueiro,L. intermedia,7,0,7,doutorado
10,01/12/2002,2002,Mutirão,Ivan,antigo,-22.607612,-43.671181,50,50_2002,200-500,recente,rural,manual,parede_externa,L. intermedia,8,2,6,doutorado
11,01/12/2002,2002,Mutirão,Ivan,antigo,-22.607612,-43.671181,50,50_2002,200-500,recente,rural,manual,galinheiro,L. intermedia,27,12,15,doutorado
12,01/12/2002,2002,Mutirão,Ivan,antigo,-22.607612,-43.671181,50,50_2002,200-500,recente,rural,manual,galinheiro,L. migonei,2,0,2,doutorado
13,01/12/2002,2002,Mutirão,Ivan,antigo,-22.607612,-43.671181,50,50_2002,200-500,recente,rural,luminosa,galinheiro,L. intermedia,87,35,52,doutorado
14,01/12/2002,2002,Mutirão,Ivan,antigo,-22.607612,-43.671181,50,50_2002,200-500,recente,rural,luminosa,galinheiro,L. migonei,1,0,1,doutorado
15,01/12/2002,2002,Mutirão,Neuza,antigo,-22.61555,-43.685668,46,46_2002,500-1000,recente,rural,manual,parede_externa,L. intermedia,5,5,0,doutorado
16,01/12/2002,2002,Mutirão,Neuza,antigo,-22.61555,-43.685668,46,46_2002,500-1000,recente,rural,manual,arvore,L. intermedia,19,15,4,doutorado
17,01/12/2002,2002,Mutirão,Neuza,antigo,-22.61555,-43.685668,46,46_2002,500-1000,recente,rural,luminosa,galinheiro,L. intermedia,67,30,37,doutorado
