sp_name,internal_wall,external_wall,banana,tree,chicken_coop,pigsty,corral
Brumptomyia brumpti,   0 (0%),   0 (0%),   1 (100%),  0 (0%),  0 (0%), 0 (0%),  0 (0%)
Brumptomyia sp.,   0 (0%),   0 (0%),   0 (0%),  1 (100%),  0 (0%), 0 (0%),  0 (0%)
Evandromyia cortelezzii,   0 (0%),   0 (0%),   0 (0%),  0 (0%),  1 (100%), 0 (0%),  0 (0%)
Migonemyia migonei*,  99 (22%),  41 (9%), 140 (31%), 71 (16%), 95 (21%), 3 (1%),  0 (0%)
Nyssomyia intermedia*,2503 (21%),2160 (18%),5502 (46%),813 (7%),762 (6%),33 (0%),155 (1%)
Nyssomyia whitmani*,  11 (23%),   3 (6%),  23 (48%),  6 (12%),  3 (6%), 0 (0%),  2 (4%)
Pintomyia fischeri*,  38 (13%),  37 (12%), 127 (42%), 48 (16%), 49 (16%), 0 (0%),  2 (1%)
Pintomyia monticola,   0 (0%),   0 (0%),   3 (100%),  0 (0%),  0 (0%), 0 (0%),  0 (0%)
Pintomyia pessoai,   0 (0%),   1 (25%),   1 (25%),  2 (50%),  0 (0%), 0 (0%),  0 (0%)
Psathyromyia pelloni,   0 (0%),   0 (0%),   0 (0%),  0 (0%),  6 (100%), 0 (0%),  0 (0%)
Psathyromyia shannoni,   2 (67%),   0 (0%),   1 (33%),  0 (0%),  0 (0%), 0 (0%),  0 (0%)
Psychodopygus hirsutus hirsutus,   0 (0%),   0 (0%),   2 (100%),  0 (0%),  0 (0%), 0 (0%),  0 (0%)
Sciopemyia sordellii,   0 (0%),   0 (0%),   0 (0%),  0 (0%),  1 (100%), 0 (0%),  0 (0%)
