point_year_id,area_m2,forest,pasture,agripasture,nonveg,urban
1,3660,122,0,0,0,0
1,480,0,16,0,0,0
1,420,0,0,14,0,0
2,3930,131,0,0,0,0
2,330,0,11,0,0,0
2,300,0,0,10,0,0
3,1080,36,0,0,0,0
3,2310,0,77,0,0,0
3,1200,0,0,40,0,0
4,1110,37,0,0,0,0
4,2370,0,79,0,0,0
4,960,0,0,32,0,0
4,120,0,0,0,4,0
5,180,6,0,0,0,0
5,3420,0,114,0,0,0
5,960,0,0,32,0,0
6,2910,97,0,0,0,0
6,870,0,29,0,0,0
6,720,0,0,24,0,0
7,900,30,0,0,0,0
7,3120,0,104,0,0,0
7,510,0,0,17,0,0
8,600,20,0,0,0,0
8,1290,0,43,0,0,0
8,2190,0,0,73,0,0
8,270,0,0,0,0,9
8,210,0,0,0,7,0
9,2610,87,0,0,0,0
9,1590,0,53,0,0,0
9,330,0,0,11,0,0
10,4200,140,0,0,0,0
10,150,0,5,0,0,0
10,210,0,0,7,0,0
11,3180,106,0,0,0,0
11,780,0,26,0,0,0
11,540,0,0,18,0,0
12,1980,66,66,0,0,0
12,630,0,0,21,0,0
13,540,18,0,0,0,0
13,2160,0,72,0,0,0
13,2010,0,0,67,0,0
14,2580,86,0,0,0,0
14,1740,0,58,0,0,0
14,210,0,0,7,0,0
15,1830,61,0,0,0,0
15,1980,0,66,0,0,0
15,720,0,0,24,0,0
16,1590,53,0,0,0,0
16,2220,0,74,0,0,0
16,750,0,0,25,0,0
17,4200,140,0,0,0,0
17,390,0,0,13,0,0
18,2130,71,0,0,0,0
18,840,0,28,0,0,0
18,1590,0,0,53,0,0
19,720,24,0,0,0,0
19,840,0,28,0,0,0
19,1650,0,0,55,0,0
19,1350,0,0,0,0,45
19,90,0,0,0,3,0
20,2760,0,92,0,0,0
20,1800,0,0,60,0,0
21,840,28,0,0,0,0
21,1080,0,36,0,0,0
21,2010,0,0,67,0,0
21,720,0,0,0,0,24
22,780,26,0,0,0,0
22,3270,0,109,0,0,0
22,480,0,0,16,0,0
23,1200,40,0,0,0,0
23,240,0,8,0,0,0
23,630,0,0,21,0,0
23,2460,0,0,0,0,82
24,1140,0,38,0,0,0
24,1080,0,0,36,0,0
24,2340,0,0,0,0,78
26,1650,55,55,0,0,0
26,900,0,0,30,0,0
26,330,0,0,0,11,0
27,2160,0,72,0,0,0
27,2130,0,0,71,0,0
27,300,0,0,0,0,10
28,1170,39,0,0,0,0
28,660,0,22,0,0,0
28,120,0,0,4,0,0
28,2640,0,0,0,0,88
29,1770,0,59,0,0,0
29,1800,0,0,60,0,0
29,1080,0,0,0,0,36
30,960,0,32,0,0,0
30,480,0,0,16,0,0
30,3060,0,0,0,0,102
31,540,18,0,0,0,0
31,780,0,26,0,0,0
31,180,0,0,6,0,0
31,3120,0,0,0,0,104
32,840,28,0,0,0,0
32,2220,0,74,0,0,0
32,1200,0,0,40,0,0
32,300,0,0,0,10,0
33,420,14,0,0,0,0
33,870,0,29,0,0,0
33,2100,0,0,70,0,0
33,930,0,0,0,0,31
33,210,0,0,0,7,0
34,600,20,0,0,0,0
34,510,0,17,0,0,0
34,2580,0,0,86,0,0
34,630,0,0,0,0,21
34,210,0,0,0,7,0
35,450,15,0,0,0,0
35,300,0,10,0,0,0
35,1920,0,0,64,0,0
35,1740,0,0,0,0,58
35,210,0,0,0,7,0
36,540,18,0,0,0,0
36,810,0,27,0,0,0
36,1860,0,0,62,0,0
36,1170,0,0,0,0,39
36,150,0,0,0,5,0
37,510,0,17,0,0,0
37,600,0,0,20,0,0
37,3390,0,0,0,0,113
38,1920,64,0,0,0,0
38,1020,0,34,0,0,0
38,1560,0,0,52,0,0
39,1710,57,0,0,0,0
39,60,0,2,0,0,0
39,1530,0,0,51,0,0
39,1200,0,0,0,0,40
40,390,13,0,0,0,0
40,630,0,21,0,0,0
40,1320,0,0,44,0,0
40,2310,0,0,0,0,77
41,180,6,0,0,0,0
41,840,0,28,0,0,0
41,810,0,0,27,0,0
41,2700,0,0,0,0,90
42,300,0,10,0,0,0
42,210,0,0,7,0,0
42,4020,0,0,0,0,134
43,690,0,23,0,0,0
43,1020,0,0,34,0,0
43,2820,0,0,0,0,94
44,2700,90,0,0,0,0
44,270,0,9,0,0,0
44,1530,0,0,51,0,0
45,360,12,0,0,0,0
45,2040,0,68,0,0,0
45,2130,0,0,71,0,0
46,420,14,0,0,0,0
46,1620,0,54,0,0,0
46,2490,0,0,83,0,0
47,1290,43,0,0,0,0
47,780,0,26,0,0,0
47,2520,0,0,84,0,0
48,1770,59,0,0,0,0
48,1590,0,53,0,0,0
48,990,0,0,33,0,0
48,60,0,0,0,0,2
48,90,0,0,0,3,0
49,510,17,0,0,0,0
49,2100,0,70,0,0,0
49,1950,0,0,65,0,0
50,1320,44,0,0,0,0
50,1560,0,52,0,0,0
50,1830,0,0,61,0,0
51,930,31,0,0,0,0
51,1560,0,52,0,0,0
51,2130,0,0,71,0,0
